date,GDP,GDP_CONS,GDP_GOV,GDP_INVEST,GDP_EXP,GDP_IMP,PROMANTOT,UNEMP,UNEMPL,CHFUSD,IMPORTS,EXPORTS,CPI_SNB
1975-01-01,,,,,,,,,,,,,
1975-02-01,,,,,,,,,,,,,
1975-03-01,,,,,,,,,,,,,
1975-04-01,,,,,,,,,1.3748252535360495,0.012231562771762738,-0.08089316088834764,-0.016951974878512743,
1975-05-01,,,,,,,,,1.1899109268340622,0.014650953456055493,-0.15298103600366275,-0.04903733857842241,
1975-06-01,,,,,,,,,1.0211534930242259,0.004463298134579907,-0.06965028633377912,0.042728875324577587,
1975-07-01,,,,,,,,,0.8778750507110278,0.021364732960147736,-0.11284610160742758,0.0027501952770379035,
1975-08-01,,,,,,,,,0.7526303767214024,0.0652188904126203,-0.060857906877419765,0.04023145788299587,
1975-09-01,,,,,,,,,0.6164182750791571,0.08275737214905032,-0.08204041389488381,-0.026695861782794594,
1975-10-01,,,,,,,,,0.45910692898748806,0.018537918734796155,0.004113075028183033,0.022674434912399732,
1975-11-01,,,,,,,,,0.3068112818998294,-0.009356342940877949,0.003516446726983702,0.037577220609865236,
1975-12-01,,,,,,,,,0.19482310597744323,-0.0285028908222974,0.012523132281764049,0.02836415964798178,
1976-01-01,,,,,,,,,0.14089981545528651,-0.022833426762746134,0.023829919483443263,-0.0011120782501876647,
1976-02-01,,,,,,,,,0.12608993435877203,-0.0320951584368141,0.0979432489927774,0.02000845887057423,
1976-03-01,,,,,,,,,0.11490251952724684,-0.02620090883072279,0.0695698028786822,0.03861316281249216,
1976-04-01,,,,,,,,,0.0806398978119951,-0.028581778324065832,0.06286711770131603,0.09706370666012631,
1976-05-01,,,,,,,,,0.02074340963527277,-0.03268092092259245,0.08098234508998914,0.06288856856642511,
1976-06-01,,,,,,,,,-0.049856770895701175,-0.03780618748922604,0.05439418726394862,-0.006814770498031919,
1976-07-01,,,,,,,,,-0.11929047969787376,-0.0178027836940976,0.05157575520291502,-0.010211646303865507,
1976-08-01,,,,,,,,,-0.1843244966219295,-0.0024235658609196298,0.06267770455119859,0.0007947590636732116,
1976-09-01,,,,,,,,,-0.23726521854857907,0.0011795838551915683,0.08871104786040362,0.03733910667746443,
1976-10-01,,,,,,,,,-0.2646121895012161,-0.01563249408043177,0.10645630766156344,0.08545738374530742,
1976-11-01,,,,,,,,,-0.2550214037023508,-0.016156430121317844,0.028353987340807407,0.04402348790207711,
1976-12-01,,,,,,,,,-0.22232416289656953,-0.00964957338272987,0.08059647348794385,0.03904276813480578,
1977-01-01,,,,,,,,,-0.18320965701687975,0.018602109390281174,0.056477725058318384,0.04385961300228303,
